STITCH 1,STITCH 2
CID000002802,CID000003639
CID000000937,CID000002250
CID000005038,CID000027661
CID000005038,CID000006691
CID000000937,CID000027661
CID000003639,CID000004927
CID000000937,CID000002244
CID000006691,CID000027661
CID000000937,CID000006691
CID000000937,CID000003440
CID000000937,CID000005038
CID000002802,CID000004927
CID000002802,CID000003559
CID000003203,CID000003877
CID000005073,CID000034312
CID000003203,CID000005155
CID000004158,CID000034312
CID000002554,CID000004158
CID000005039,CID000005372
CID000005077,CID000005203
CID000002554,CID000034312
CID000001775,CID000002554
CID000003877,CID000005155
CID000002554,CID000005073
CID000004158,CID000005073
CID000004200,CID000005538
CID000004943,CID000071616
CID000003793,CID000004943
CID000003793,CID000041693
CID000002786,CID000004200
CID000002786,CID000003255
CID000004171,CID000104865
CID000003825,CID000005206
CID000000853,CID000004542
CID000003255,CID000004200
CID000005206,CID000036339
CID000003255,CID000005538
CID000003825,CID000004943
CID000002764,CID000004943
CID000004943,CID000036339
CID000004943,CID000047320
CID000003793,CID000005206
CID000002786,CID000005538
CID000003825,CID000047320
CID000003825,CID000041693
CID000002764,CID000041693
CID000004679,CID000104865
CID000003559,CID000005656
CID000004585,CID000005656
CID000003365,CID000004543
CID000004171,CID000004873
CID000000298,CID000002269
CID000005038,CID000054454
CID000002803,CID000004112
CID000003890,CID005311027
CID000004171,CID000005203
CID000003749,CID000004171
CID000002803,CID000004171
CID000003310,CID000004543
CID000003310,CID000003446
CID000002435,CID000119607
CID000002803,CID000004873
CID000002907,CID000003446
CID000002803,CID000005203
CID000002269,CID000003255
CID000004112,CID000004171
CID000002907,CID000003365
CID000002435,CID000003890
CID000003310,CID000003365
CID000002803,CID000003405
CID000005203,CID000006691
CID000003403,CID000003476
CID000003826,CID000005090
CID000005203,CID000005523
CID000004409,CID000005090
CID000003222,CID000003440
CID000004829,CID000041774
CID000002658,CID000005090
CID000005090,CID000005203
CID000003826,CID000004091
CID000004091,CID000005523
CID000004409,CID000005523
CID000003826,CID000006691
CID000003826,CID000005203
CID000004091,CID000005090
CID000003222,CID000065999
CID000003672,CID000005090
CID000004091,CID000006691
CID000004409,CID000006691
CID000005090,CID000006691
CID000004091,CID000004409
CID000005090,CID000005523
CID000004409,CID000005203
CID000005523,CID000006691
CID000004091,CID000005203
CID000002088,CID000003348
CID000000444,CID000005064
CID000005544,CID000005650
CID000002083,CID000005650
CID000002250,CID000032797
CID000003348,CID000005544
CID000005650,CID000032797
CID000002088,CID000004112
CID000005732,CID000093860
CID000004112,CID000032797
CID000002088,CID000005544
CID000002088,CID000003405
CID000003348,CID000005650
CID000002088,CID000005029
CID000002083,CID000003405
CID000005732,CID000083786
CID000002088,CID000032797
CID000003348,CID000003405
CID000004679,CID000005544
CID000005544,CID000032797
CID000005029,CID000005650
CID000005029,CID000005544
CID000002083,CID000005544
CID000001983,CID000002895
CID000001983,CID000005039
CID000001983,CID000003339
CID000125889,CID004475485
CID000002895,CID000003339
CID000002895,CID000005090
CID000005039,CID000005090
CID000002895,CID000005039
CID000004171,CID004475485
CID000004171,CID000125889
CID000001983,CID000005090
CID000003339,CID000005090
CID000002764,CID005329102
CID000001983,CID000004812
CID000002662,CID000004691
CID000004451,CID000005726
CID000004691,CID000005512
CID000002162,CID005329102
CID000004635,CID000004900
CID000002662,CID000005512
CID000002284,CID000004900
CID000002771,CID000004900
CID000002088,CID000002249
CID000002088,CID000002244
CID000004058,CID000004900
CID000002088,CID000004594
CID000004253,CID000004900
CID000002162,CID000002764
CID000003877,CID000004451
CID000003310,CID000013342
CID000001986,CID000004112
CID000001986,CID000003310
CID000003690,CID000013342
CID000003690,CID000072467
CID000002019,CID000004112
CID000003310,CID000004112
CID000004112,CID005311048
CID000013342,CID000038904
CID000038904,CID005311048
CID000038904,CID000072467
CID000002019,CID005311048
CID000002907,CID000004112
CID000002019,CID000003310
CID000001986,CID005311048
CID000003690,CID005311048
CID000003690,CID000038904
CID000004112,CID000005978
CID000004171,CID000004679
CID000003672,CID004475485
CID000004679,CID000005029
CID000002088,CID000004900
CID000002088,CID000005523
CID000002764,CID000004168
CID000003016,CID000005039
CID000004463,CID000005726
CID000004168,CID000005578
CID000004168,CID000004171
CID000004168,CID000005267
CID000004900,CID000005523
CID000002476,CID000003016
CID000004168,CID000004679
CID000002550,CID000004168
CID000004168,CID000005029
CID000003345,CID000005038
CID000004594,CID000005203
CID000000772,CID000003345
CID000000772,CID000004253
CID000004253,CID000005038
CID000003345,CID000104865
CID000005039,CID000005203
CID000004253,CID000104865
CID000003672,CID000005203
CID000003345,CID000004253
CID000005076,CID000005155
CID000005155,CID000060787
CID000003043,CID000005076
CID000003043,CID000003877
CID000005726,CID000060787
CID000005076,CID000060787
CID000003365,CID000005726
CID000003043,CID000005155
CID000003365,CID000060787
CID000003877,CID000005726
CID000000772,CID000006691
CID000003043,CID000005726
CID000003365,CID000003877
CID000003043,CID000003365
CID000003365,CID000005076
CID000005155,CID000005726
CID000005076,CID000005726
CID000003043,CID000060787
CID000003365,CID000005155
CID000003877,CID000060787
CID000002771,CID000003878
CID000002554,CID000005412
CID000003016,CID000005203
CID000002554,CID005311297
CID000004594,CID000004900
CID000003016,CID000003405
CID000004091,CID000004829
CID000004900,CID000005203
CID000001690,CID000005376
CID000003016,CID000004900
CID000004171,CID000004900
CID000004112,CID000004894
CID000002891,CID000003676
CID000002891,CID000003348
CID000003937,CID000004112
CID000003937,CID000005391
CID000002891,CID000123631
CID000003348,CID000003676
CID000003348,CID000123631
CID000003676,CID000123631
CID000003937,CID000006691
CID000003825,CID000123631
CID000004112,CID000006691
CID000003937,CID000004894
CID000003676,CID000003825
CID000004894,CID000006691
CID000005391,CID000006691
CID000004894,CID000005391
CID000003642,CID000003676
CID000003642,CID000123631
CID000002891,CID000003825
CID000003405,CID000005391
CID000004112,CID000005391
CID000003348,CID000003825
CID000002806,CID000003075
CID000002907,CID000003902
CID000004411,CID000060147
CID000002907,CID000004666
CID000003902,CID000004666
CID000001690,CID000004666
CID000001690,CID000003902
CID000060147,CID000152945
CID000003961,CID000005090
CID000002806,CID000004691
CID000002907,CID000068740
CID000005090,CID000005650
CID000004691,CID000005650
CID000001971,CID000003043
CID000003043,CID000003203
CID000003075,CID000003961
CID000001971,CID000003203
CID000002806,CID000005650
CID000003075,CID000005090
CID000003075,CID000005650
CID000004666,CID000068740
CID000003961,CID000005650
CID000001690,CID000068740
CID000003961,CID000004691
CID000003902,CID000068740
CID000003075,CID000004691
CID000002806,CID000003961
CID000004411,CID000152945
CID000002405,CID000003961
CID000002308,CID000002541
CID000002083,CID000002541
CID000003310,CID000004168
CID000054688,CID005311048
CID000083786,CID005311048
CID000004168,CID005311048
CID000004112,CID005353980
CID000004594,CID005353980
CID000003310,CID005311048
CID000003310,CID000083786
CID000003310,CID000054688
CID000004585,CID000004691
CID000003929,CID005311039
CID000002022,CID000003929
CID000002622,CID000003929
CID000002250,CID000003902
CID000002622,CID000005372
CID000003043,CID000003405
CID000001983,CID000005064
CID000005064,CID000005645
CID000004900,CID000005726
CID000003878,CID005311297
CID000003929,CID000005372
CID000003405,CID000003877
CID000002764,CID005311039
CID000002764,CID000003929
CID000004894,CID000005372
CID000002153,CID000003410
CID000004463,CID000004900
CID000004900,CID000005040
CID000003877,CID000004900
CID000003279,CID005381226
CID000003877,CID000004463
CID000002022,CID000005372
CID000002022,CID000002622
CID000001065,CID000003463
CID000003348,CID000005090
CID000003348,CID000005029
CID000001065,CID000005090
CID000002554,CID000003121
CID000003348,CID000003463
CID000003339,CID000003463
CID000005029,CID000005090
CID000005029,CID000160051
CID000005090,CID000160051
CID000003339,CID000005029
CID000003883,CID000005090
CID000003937,CID000005090
CID000003016,CID000004585
CID000002083,CID000002171
CID000003121,CID000003878
CID000000853,CID000005234
CID000003405,CID000005234
CID000002554,CID000059708
CID000002554,CID000003878
CID000002265,CID000002554
CID000002554,CID000004058
CID000004058,CID000005538
CID000002554,CID000005538
CID000003075,CID000003780
CID000003937,CID000004900
CID000000450,CID000010631
CID000004691,CID000010631
CID000004171,CID000005090
CID000005203,CID000010631
CID000000450,CID000004691
CID000004594,CID000005090
CID000002244,CID000005487
CID000003652,CID000003767
CID000003767,CID000004112
CID000003121,CID000004634
CID000002771,CID000004634
CID000002764,CID000003446
CID000003121,CID000003446
CID000002771,CID000003446
CID000002764,CID000004634
CID000004634,CID000004679
CID000003652,CID000004112
CID000004634,CID000005487
CID000002771,CID000004679
CID000002764,CID000005647
CID000004107,CID000005538
CID000002764,CID000005029
CID000004894,CID000005478
CID000062924,CID005311297
CID000003957,CID000062924
CID000002267,CID000003957
CID000002658,CID000005478
CID000004583,CID000005478
CID000002118,CID000003890
CID000003890,CID000005556
CID000003957,CID005311297
CID000003890,CID000006691
CID000005267,CID000005538
CID000003062,CID000003899
CID000003899,CID000004946
CID000003355,CID000003899
CID000003032,CID000004112
CID000000581,CID000003062
CID000000581,CID000003899
CID000003062,CID000003355
CID000000853,CID000004543
CID000000853,CID000005408
CID000005408,CID000110634
CID000000853,CID000005391
CID000004543,CID000077999
CID000000853,CID000130881
CID000004543,CID000005391
CID000000853,CID000077999
CID000005408,CID000130881
CID000002771,CID000004543
CID000000853,CID000110634
CID000000853,CID000002771
CID000000853,CID000003446
CID000110634,CID000130881
CID000005514,CID000005731
CID000004594,CID000005731
CID000004616,CID000005514
CID000001690,CID000003143
CID000002907,CID000003143
CID000003325,CID000005514
CID000004594,CID000005514
CID000003325,CID000005731
CID000004616,CID000005731
CID000001983,CID000004583
CID000003825,CID000004583
CID000004583,CID000005234
CID000000444,CID000005002
CID000002800,CID000004894
CID000003961,CID000005732
CID000002771,CID000170361
CID000002800,CID000010631
CID000002771,CID000005002
CID000002895,CID000123620
CID000003672,CID000003961
CID000005002,CID000170361
CID000002895,CID000003446
CID000003672,CID000005732
CID000002524,CID000002909
CID000004674,CID000005039
CID000002909,CID000004894
CID000003143,CID000004594
CID000003152,CID000004054
CID000006691,CID005493381
CID000002524,CID000004894
CID000002585,CID000003639
CID000004900,CID000006691
CID000002806,CID000004054
CID000004900,CID005493381
CID000002771,CID000002806
CID000005039,CID000005426
CID000002806,CID000003152
CID000005038,CID000083786
CID000003639,CID000005038
CID000002524,CID000005372
CID000004674,CID000005426
CID000002585,CID000083786
CID000002585,CID000005038
CID000005267,CID000083786
CID000002909,CID000005372
CID000003639,CID000083786
CID000002771,CID000003152
CID000002771,CID000004054
CID000004112,CID000005090
CID000002308,CID000087177
CID000005203,CID000087177
CID000002308,CID000005203
CID000002118,CID000004205
CID000004205,CID000034312
CID000004900,CID000005090
CID000002554,CID000028112
CID000004112,CID000004900
CID000002088,CID000005039
CID000010631,CID000060835
CID000000450,CID000060835
CID000004585,CID000005076
CID000004585,CID000060787
CID000000444,CID000003016
CID000004075,CID000004542
CID000002244,CID000005090
CID000004542,CID000005267
CID000004044,CID000004542
CID000000450,CID000000853
CID000010631,CID000060852
CID000000450,CID000060852
CID000004900,CID000005372
